Date ,Temp
3/31/2015 17:00,5.45
3/31/2015 18:00,4.207
3/31/2015 19:00,3.578
3/31/2015 20:00,2.624
3/31/2015 21:00,2.195
3/31/2015 22:00,2.303
3/31/2015 23:00,2.195
4/1/2015 0:00,2.195
4/1/2015 1:00,2.088
4/1/2015 2:00,1.872
4/1/2015 3:00,1.764
4/1/2015 4:00,1.872
4/1/2015 5:00,2.837
4/1/2015 6:00,2.195
4/1/2015 7:00,1.872
4/1/2015 8:00,4.311
4/1/2015 9:00,7.381
4/1/2015 10:00,6.674
4/1/2015 11:00,8.779
4/1/2015 12:00,8.978
4/1/2015 13:00,10.063
4/1/2015 14:00,11.041
4/1/2015 15:00,11.334
4/1/2015 16:00,10.161
4/1/2015 17:00,10.944
4/1/2015 18:00,9.472
4/1/2015 19:00,1.003
4/1/2015 20:00,-1.799
4/1/2015 21:00,-2.145
4/1/2015 22:00,-4.272
4/1/2015 23:00,-3.792
4/2/2015 0:00,-8.713
4/2/2015 1:00,-6.882
4/2/2015 2:00,-8.58
4/2/2015 3:00,-5.372
4/2/2015 4:00,-6.754
4/2/2015 5:00,-6.499
4/2/2015 6:00,-6.882
4/2/2015 7:00,-2.61
4/2/2015 8:00,3.049
4/2/2015 9:00,9.176
4/2/2015 10:00,11.236
4/2/2015 11:00,12.013
4/2/2015 12:00,13.461
4/2/2015 13:00,14.038
4/2/2015 14:00,12.883
4/2/2015 15:00,12.304
4/2/2015 16:00,11.819
4/2/2015 17:00,10.846
4/2/2015 18:00,10.357
4/2/2015 19:00,5.037
4/2/2015 20:00,4.727
4/2/2015 21:00,5.347
4/2/2015 22:00,5.655
4/2/2015 23:00,6.877
4/3/2015 0:00,7.079
4/3/2015 1:00,6.978
4/3/2015 2:00,7.582
4/3/2015 3:00,8.082
4/3/2015 4:00,8.581
4/3/2015 5:00,7.983
4/3/2015 6:00,7.481
4/3/2015 7:00,7.381
4/3/2015 8:00,8.879
4/3/2015 9:00,7.682
4/3/2015 10:00,7.481
4/3/2015 11:00,8.182
4/3/2015 12:00,8.082
4/3/2015 13:00,8.978
4/3/2015 14:00,9.077
4/3/2015 15:00,7.079
4/3/2015 16:00,7.179
4/3/2015 17:00,6.37
4/3/2015 18:00,6.166
4/3/2015 19:00,5.244
4/3/2015 20:00,5.552
4/3/2015 21:00,6.471
4/3/2015 22:00,5.962
4/3/2015 23:00,6.877
4/4/2015 0:00,7.179
4/4/2015 1:00,6.978
4/4/2015 2:00,7.481
4/4/2015 3:00,7.481
4/4/2015 4:00,7.481
4/4/2015 5:00,8.082
4/4/2015 6:00,8.082
4/4/2015 7:00,9.275
4/4/2015 8:00,8.481
4/4/2015 9:00,7.28
4/4/2015 10:00,9.176
4/4/2015 11:00,11.625
4/4/2015 12:00,15.855
4/4/2015 13:00,13.173
4/4/2015 14:00,16.332
4/4/2015 15:00,14.9
4/4/2015 16:00,13.75
4/4/2015 17:00,13.269
4/4/2015 18:00,14.325
4/4/2015 19:00,5.655
4/4/2015 20:00,4.623
4/4/2015 21:00,4.311
4/4/2015 22:00,3.367
4/4/2015 23:00,3.367
4/5/2015 0:00,2.73
4/5/2015 1:00,1.872
4/5/2015 2:00,3.261
4/5/2015 3:00,2.837
4/5/2015 4:00,1.872
4/5/2015 5:00,0.453
4/5/2015 6:00,1.98
4/5/2015 7:00,5.45
4/5/2015 8:00,7.381
4/5/2015 9:00,9.669
4/5/2015 10:00,10.944
4/5/2015 11:00,11.625
4/5/2015 12:00,13.269
4/5/2015 13:00,12.98
4/5/2015 14:00,13.558
4/5/2015 15:00,12.69
4/5/2015 16:00,8.68
4/5/2015 17:00,8.581
4/5/2015 18:00,7.682
4/5/2015 19:00,5.347
4/5/2015 20:00,5.141
4/5/2015 21:00,4.623
4/5/2015 22:00,4.831
4/5/2015 23:00,4.934
4/6/2015 0:00,4.727
4/6/2015 1:00,4.311
4/6/2015 2:00,3.893
4/6/2015 3:00,2.624
4/6/2015 4:00,1.548
4/6/2015 5:00,2.088
4/6/2015 6:00,0.453
4/6/2015 7:00,3.788
4/6/2015 8:00,7.682
4/6/2015 9:00,11.722
4/6/2015 10:00,13.846
4/6/2015 11:00,14.038
4/6/2015 12:00,14.23
4/6/2015 13:00,15.76
4/6/2015 14:00,15.378
4/6/2015 15:00,15.76
4/6/2015 16:00,14.23
4/6/2015 17:00,13.461
4/6/2015 18:00,12.013
4/6/2015 19:00,6.877
4/6/2015 20:00,6.268
4/6/2015 21:00,6.674
4/6/2015 22:00,6.674
4/6/2015 23:00,7.179
4/7/2015 0:00,7.179
4/7/2015 1:00,7.179
4/7/2015 2:00,7.481
4/7/2015 3:00,8.581
4/7/2015 4:00,7.481
4/7/2015 5:00,6.674
4/7/2015 6:00,7.28
4/7/2015 7:00,7.983
4/7/2015 8:00,6.166
4/7/2015 9:00,6.978
4/7/2015 10:00,7.179
4/7/2015 11:00,8.382
4/7/2015 12:00,8.68
4/7/2015 13:00,8.68
4/7/2015 14:00,8.182
4/7/2015 15:00,6.674
4/7/2015 16:00,5.141
4/7/2015 17:00,5.141
4/7/2015 18:00,4.311
4/7/2015 19:00,3.998
4/7/2015 20:00,3.998
4/7/2015 21:00,3.998
4/7/2015 22:00,4.102
4/7/2015 23:00,4.207
4/8/2015 0:00,4.102
4/8/2015 1:00,4.207
4/8/2015 2:00,4.207
4/8/2015 3:00,4.207
4/8/2015 4:00,3.998
4/8/2015 5:00,3.893
4/8/2015 6:00,3.893
4/8/2015 7:00,5.757
4/8/2015 8:00,6.775
4/8/2015 9:00,8.382
