"","Date","Min Temp","Avg Temp","Day"
"1","04/22/2016",10.553,15.831,"113"
"2","04/23/2016",8.879,10.915,"114"
"3","04/24/2016",-5.003,9.234,"115"
"4","04/25/2016",-5.125,10.306,"116"
"5","04/26/2016",1.003,6.392,"117"
"6","04/27/2016",3.578,9.75,"118"
"7","04/28/2016",6.37,10.616,"119"
"8","04/29/2016",5.037,8.209,"120"
"9","04/30/2016",-3.792,8.668,"121"
"10","05/01/2016",-5.745,6.427,"122"
"11","05/02/2016",8.082,12.461,"123"
"12","05/03/2016",6.37,8.206,"124"
"13","05/04/2016",7.079,8.198,"125"
"14","05/05/2016",6.978,7.414,"126"
"15","05/06/2016",7.381,10.178,"127"
"16","05/07/2016",7.381,11.558,"128"
"17","05/08/2016",6.978,10.791,"129"
"18","05/09/2016",2.624,13.027,"130"
"19","05/10/2016",6.573,13.44,"131"
"20","05/11/2016",5.757,15.364,"132"
"21","05/12/2016",-0.774,14.785,"133"
"22","05/13/2016",9.275,16.849,"134"
"23","05/14/2016",11.139,16.8,"135"
"24","05/15/2016",8.978,14.089,"136"
"25","05/16/2016",-0.437,11.629,"137"
"26","05/17/2016",8.282,13.953,"138"
"27","05/18/2016",1.656,12.93,"139"
"28","05/19/2016",0.674,11.767,"140"
"29","05/20/2016",0.01,15.323,"141"
"30","05/21/2016",1.221,14.792,"142"
"31","05/22/2016",11.334,14.699,"143"
"32","05/23/2016",10.651,15.921,"144"
"33","05/24/2016",10.748,14.113,"145"
"34","05/25/2016",11.625,17.463,"146"
"35","05/26/2016",13.365,21.724,"147"
"36","05/27/2016",12.207,18.594,"148"
"37","05/28/2016",14.421,19.055,"149"
"38","05/29/2016",14.9,20.258,"150"
"39","05/30/2016",15.187,17.129,"151"
"40","05/31/2016",14.517,19.083,"152"
"41","06/01/2016",13.076,18.183,"153"
"42","06/02/2016",11.625,14.924,"154"
"43","06/03/2016",13.269,16.101,"155"
"44","06/04/2016",12.594,18.516,"156"
"45","06/05/2016",14.613,17.43,"157"
"46","06/06/2016",16.046,20.195,"158"
"47","06/07/2016",15.187,18.909,"159"
"48","06/08/2016",14.134,18.6,"160"
"49","06/09/2016",12.207,14.956,"161"
