Date,Temp,Day
12/14/2014,3.261,348
12/14/2014,2.943,348
12/14/2014,2.088,348
12/14/2014,2.517,348
12/14/2014,2.517,348
12/14/2014,3.155,348
12/14/2014,2.73,348
12/15/2014,2.088,349
12/15/2014,1.439,349
12/15/2014,1.439,349
12/15/2014,1.548,349
12/15/2014,1.221,349
12/15/2014,1.003,349
12/15/2014,1.439,349
12/15/2014,1.656,349
12/15/2014,2.837,349
12/15/2014,5.962,349
12/15/2014,8.182,349
12/15/2014,8.382,349
12/15/2014,8.68,349
12/15/2014,10.161,349
12/15/2014,7.28,349
12/15/2014,9.571,349
12/15/2014,3.683,349
12/15/2014,2.624,349
12/15/2014,2.41,349
12/15/2014,3.261,349
12/15/2014,3.472,349
12/15/2014,3.683,349
12/15/2014,3.893,349
12/15/2014,3.998,349
12/16/2014,3.893,350
12/16/2014,3.998,350
12/16/2014,4.207,350
12/16/2014,4.415,350
12/16/2014,4.207,350
12/16/2014,4.311,350
12/16/2014,4.934,350
12/16/2014,4.831,350
12/16/2014,5.552,350
12/16/2014,6.674,350
12/16/2014,7.782,350
12/16/2014,8.382,350
12/16/2014,8.382,350
12/16/2014,8.68,350
12/16/2014,8.481,350
12/16/2014,8.182,350
12/16/2014,7.682,350
12/16/2014,7.983,350
12/16/2014,8.581,350
12/16/2014,8.481,350
12/16/2014,7.983,350
12/16/2014,8.382,350
12/16/2014,8.581,350
12/16/2014,8.581,350
12/17/2014,9.571,351
12/17/2014,10.161,351
12/17/2014,11.334,351
12/17/2014,10.944,351
12/17/2014,10.846,351
12/17/2014,10.455,351
12/17/2014,10.259,351
12/17/2014,10.063,351
12/17/2014,10.357,351
12/17/2014,11.334,351
12/17/2014,11.431,351
12/17/2014,9.077,351
12/17/2014,10.161,351
12/17/2014,10.455,351
12/17/2014,8.581,351
12/17/2014,8.581,351
12/17/2014,8.082,351
12/17/2014,6.674,351
12/17/2014,6.064,351
12/17/2014,7.582,351
12/17/2014,6.064,351
12/17/2014,6.978,351
12/17/2014,7.28,351
12/17/2014,6.877,351
12/18/2014,6.268,352
12/18/2014,5.86,352
12/18/2014,5.141,352
12/18/2014,4.519,352
12/18/2014,4.207,352
12/18/2014,4.519,352
12/18/2014,3.998,352
12/18/2014,3.788,352
12/18/2014,4.519,352
12/18/2014,6.064,352
12/18/2014,5.552,352
12/18/2014,9.077,352
12/18/2014,9.768,352
12/18/2014,11.041,352
12/18/2014,11.041,352
12/18/2014,9.669,352
12/18/2014,4.415,352
12/18/2014,4.207,352
12/18/2014,4.102,352
12/18/2014,3.472,352
12/18/2014,2.41,352
12/18/2014,2.088,352
12/18/2014,1.548,352
12/18/2014,1.656,352
12/19/2014,1.33,353
12/19/2014,1.003,353
12/19/2014,1.221,353
12/19/2014,2.517,353
12/19/2014,2.73,353
12/19/2014,2.517,353
12/19/2014,2.837,353
12/19/2014,2.517,353
12/19/2014,2.943,353
12/19/2014,3.683,353
12/19/2014,5.347,353
12/19/2014,5.757,353
12/19/2014,6.877,353
12/19/2014,6.064,353
12/19/2014,4.311,353
12/19/2014,2.837,353
12/19/2014,1.98,353
12/19/2014,1.764,353
12/19/2014,1.548,353
12/19/2014,1.656,353
12/19/2014,1.764,353
12/19/2014,1.98,353
12/19/2014,2.088,353
12/19/2014,1.872,353
12/20/2014,1.872,354
12/20/2014,1.98,354
12/20/2014,2.195,354
12/20/2014,2.624,354
12/20/2014,2.195,354
12/20/2014,1.548,354
12/20/2014,1.548,354
12/20/2014,2.088,354
12/20/2014,3.367,354
12/20/2014,4.102,354
12/20/2014,5.037,354
12/20/2014,6.573,354
12/20/2014,8.68,354
12/20/2014,9.275,354
12/20/2014,6.978,354
12/20/2014,5.141,354
12/20/2014,4.311,354
12/20/2014,3.683,354
12/20/2014,3.683,354
12/20/2014,3.472,354
12/20/2014,3.367,354
12/20/2014,4.311,354
12/20/2014,4.519,354
12/20/2014,4.415,354
12/21/2014,3.998,355
12/21/2014,4.519,355
12/21/2014,4.415,355
12/21/2014,3.998,355
12/21/2014,4.207,355
12/21/2014,3.893,355
12/21/2014,4.207,355
12/21/2014,4.102,355
12/21/2014,5.141,355
12/21/2014,6.166,355
12/21/2014,6.573,355
12/21/2014,7.381,355
12/21/2014,8.581,355
12/21/2014,7.682,355
12/21/2014,8.481,355
12/21/2014,6.064,355
12/21/2014,5.347,355
12/21/2014,5.244,355
12/21/2014,5.347,355
12/21/2014,5.552,355
12/21/2014,4.831,355
12/21/2014,5.347,355
12/21/2014,4.831,355
12/21/2014,4.727,355
12/22/2014,3.998,356
12/22/2014,3.788,356
12/22/2014,4.623,356
12/22/2014,4.831,356
12/22/2014,4.519,356
12/22/2014,4.519,356
12/22/2014,3.893,356
12/22/2014,3.893,356
12/22/2014,5.86,356
12/22/2014,7.582,356
12/22/2014,8.182,356
12/22/2014,7.782,356
12/22/2014,8.978,356
12/22/2014,8.581,356
12/22/2014,10.161,356
12/22/2014,8.581,356
12/22/2014,6.573,356
12/22/2014,5.347,356
12/22/2014,4.831,356
12/22/2014,4.623,356
12/22/2014,5.655,356
12/22/2014,6.268,356
12/22/2014,6.573,356
12/22/2014,6.674,356
12/23/2014,6.674,357
12/23/2014,6.775,357
12/23/2014,6.573,357
12/23/2014,6.877,357
12/23/2014,7.079,357
12/23/2014,7.179,357
12/23/2014,7.079,357
12/23/2014,7.179,357
12/23/2014,7.381,357
12/23/2014,7.582,357
12/23/2014,8.082,357
12/23/2014,8.779,357
12/23/2014,10.748,357
12/23/2014,8.879,357
12/23/2014,9.866,357
12/23/2014,8.879,357
12/23/2014,8.382,357
12/23/2014,8.282,357
12/23/2014,8.978,357
12/23/2014,8.779,357
12/23/2014,8.68,357
12/23/2014,8.978,357
12/23/2014,8.282,357
12/23/2014,8.182,357
12/24/2014,7.983,358
12/24/2014,7.983,358
12/24/2014,8.082,358
12/24/2014,8.082,358
12/24/2014,8.182,358
12/24/2014,7.983,358
12/24/2014,8.282,358
12/24/2014,8.581,358
12/24/2014,9.472,358
12/24/2014,11.334,358
12/24/2014,12.594,358
12/24/2014,10.846,358
12/24/2014,10.651,358
12/24/2014,11.334,358
12/24/2014,12.594,358
12/24/2014,11.916,358
12/24/2014,12.013,358
12/24/2014,12.98,358
12/24/2014,12.98,358
12/24/2014,13.269,358
12/24/2014,13.654,358
12/24/2014,13.654,358
12/24/2014,13.942,358
12/24/2014,13.75,358
12/25/2014,13.942,359
12/25/2014,14.134,359
12/25/2014,14.038,359
12/25/2014,13.846,359
12/25/2014,13.942,359
12/25/2014,14.134,359
12/25/2014,15.091,359
12/25/2014,14.23,359
12/25/2014,13.461,359
12/25/2014,12.207,359
12/25/2014,11.916,359
12/25/2014,11.139,359
12/25/2014,9.275,359
12/25/2014,10.553,359
12/25/2014,12.304,359
12/25/2014,12.013,359
12/25/2014,8.68,359
12/25/2014,6.877,359
12/25/2014,6.877,359
12/25/2014,6.064,359
12/25/2014,6.37,359
12/25/2014,6.268,359
12/25/2014,6.471,359
12/25/2014,6.268,359
12/26/2014,5.86,360
12/26/2014,5.757,360
12/26/2014,5.244,360
12/26/2014,4.727,360
12/26/2014,4.207,360
12/26/2014,3.893,360
12/26/2014,3.788,360
12/26/2014,3.998,360
12/26/2014,5.552,360
12/26/2014,9.176,360
12/26/2014,10.846,360
12/26/2014,11.916,360
12/26/2014,12.013,360
12/26/2014,12.207,360
12/26/2014,11.722,360
12/26/2014,11.041,360
12/26/2014,7.28,360
12/26/2014,4.102,360
12/26/2014,3.155,360
12/26/2014,4.623,360
12/26/2014,4.415,360
12/26/2014,3.367,360
12/26/2014,3.472,360
12/26/2014,3.998,360
12/27/2014,3.998,361
12/27/2014,2.73,361
12/27/2014,1.548,361
12/27/2014,3.261,361
12/27/2014,3.788,361
12/27/2014,2.303,361
12/27/2014,1.439,361
12/27/2014,0.784,361
12/27/2014,4.102,361
12/27/2014,8.68,361
12/27/2014,10.846,361
12/27/2014,12.11,361
12/27/2014,11.819,361
12/27/2014,12.787,361
12/27/2014,12.69,361
12/27/2014,12.013,361
12/27/2014,7.782,361
12/27/2014,5.962,361
12/27/2014,6.268,361
12/27/2014,5.347,361
12/27/2014,5.757,361
12/27/2014,5.962,361
12/27/2014,4.623,361
12/27/2014,4.623,361
12/28/2014,4.415,362
12/28/2014,5.45,362
12/28/2014,6.37,362
12/28/2014,6.775,362
12/28/2014,7.782,362
12/28/2014,8.282,362
12/28/2014,8.879,362
12/28/2014,9.077,362
12/28/2014,9.965,362
12/28/2014,10.651,362
12/28/2014,10.846,362
12/28/2014,10.944,362
12/28/2014,10.553,362
12/28/2014,10.553,362
12/28/2014,10.161,362
12/28/2014,9.176,362
12/28/2014,7.882,362
12/28/2014,7.682,362
12/28/2014,7.782,362
12/28/2014,7.782,362
12/28/2014,7.481,362
12/28/2014,6.978,362
12/28/2014,6.37,362
12/28/2014,6.166,362
12/29/2014,5.552,363
12/29/2014,5.244,363
